epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,889.811,1.57565,2.27961,1.27065,0.00591,0.83678,0.88642,0.794,0.89083,0.68169,0.84714,0.75943,0.86155,0.55474,1.1424,1.56735,0.65548,0.00484,0,0.00989715,0.00989715,0.00989715
67,903.176,1.55194,2.26191,1.22761,0.00565,0.80546,0.88282,0.72533,0.87051,0.66907,0.88685,0.67579,0.80365,0.52697,1.16604,1.65107,0.7041,0.00462,0,0.00989398,0.00989398,0.00989398
68,916.587,1.57227,2.26784,1.23074,0.00591,0.82764,0.86427,0.78953,0.8768,0.66624,0.79968,0.73125,0.80212,0.52303,1.1687,1.70051,0.77019,0.00454,0,0.00989075,0.00989075,0.00989075
69,930.121,1.56168,2.2717,1.22527,0.00587,0.81105,0.88516,0.739,0.8841,0.66737,0.84472,0.70342,0.79368,0.5272,1.18788,1.65438,0.73064,0.00465,0,0.00988748,0.00988748,0.00988748
70,944.124,1.54865,2.24838,1.20483,0.00568,0.79842,0.82197,0.83583,0.87601,0.68156,0.80742,0.7109,0.7897,0.52595,1.13052,1.62744,0.68608,0.00449,0,0.00988416,0.00988416,0.00988416
71,957.859,1.5649,2.25084,1.1912,0.00578,0.76863,0.88497,0.82441,0.8969,0.69123,0.81888,0.76851,0.81609,0.54685,1.1462,1.6691,0.67301,0.00434,0,0.00988079,0.00988079,0.00988079
72,971.598,1.56312,2.25046,1.24372,0.0058,0.80201,0.8518,0.82552,0.90408,0.70484,0.81207,0.77752,0.83597,0.55844,1.13802,1.63073,0.70619,0.00445,0,0.00987737,0.00987737,0.00987737
73,985.377,1.5586,2.23711,1.22465,0.00585,0.80513,0.87013,0.8299,0.89714,0.68789,0.81987,0.78891,0.82567,0.56785,1.13457,1.59404,0.71963,0.00459,0,0.00987391,0.00987391,0.00987391
74,999.191,1.5306,2.20774,1.17673,0.00558,0.77675,0.84053,0.8663,0.88995,0.68321,0.88215,0.73937,0.81482,0.56542,1.14433,1.61338,0.74759,0.00449,0,0.0098704,0.0098704,0.0098704
75,1012.87,1.5263,2.23924,1.20734,0.00564,0.81418,0.88342,0.84789,0.90776,0.6973,0.86022,0.8224,0.85773,0.57673,1.12671,1.50796,0.66382,0.00442,0,0.00986684,0.00986684,0.00986684
